dataset_horizon,tokenizer,mae_mean,mae_std,rmse_mean,rmse_std,seeds
ETTh1/H=96,discrete_bpe,0.668,0.023,0.913,0.016,3
ETTh1/H=96,discrete_scalar,0.548,0.009,0.774,0.011,3
ETTh1/H=96,patch,0.427,0.006,0.641,0.008,3
ETTh1/H=96,point,0.484,0.013,0.728,0.016,3
ETTh1/H=96,variate,0.447,0.010,0.648,0.010,3
ETTh1/H=336,discrete_bpe,0.789,0.022,1.033,0.028,3
ETTh1/H=336,discrete_scalar,0.619,0.012,0.839,0.011,3
ETTh1/H=336,patch,0.523,0.008,0.752,0.014,3
ETTh1/H=336,point,0.539,0.031,0.764,0.041,3
ETTh1/H=336,variate,0.535,0.006,0.734,0.006,3
Electricity/H=96,discrete_bpe,0.761,0.001,0.916,0.001,3
Electricity/H=96,discrete_scalar,0.294,0.002,0.456,0.003,3
Electricity/H=96,patch,0.227,0.001,0.362,0.000,3
Electricity/H=96,point,0.276,0.005,0.429,0.006,3
Electricity/H=96,variate,0.247,0.002,0.379,0.002,3
Electricity/H=336,discrete_bpe,0.802,0.001,0.969,0.001,3
Electricity/H=336,discrete_scalar,0.295,0.001,0.454,0.001,3
Electricity/H=336,patch,0.263,0.001,0.409,0.001,3
Electricity/H=336,point,0.285,0.000,0.441,0.001,3
Electricity/H=336,variate,0.282,0.006,0.418,0.007,3
Weather/H=96,discrete_bpe,0.310,0.000,0.504,0.001,3
Weather/H=96,discrete_scalar,0.259,0.010,0.457,0.013,3
Weather/H=96,patch,0.224,0.003,0.403,0.002,3
Weather/H=96,point,0.226,0.004,0.406,0.007,3
Weather/H=96,variate,0.237,0.005,0.427,0.009,3
Weather/H=336,discrete_bpe,0.518,0.002,0.728,0.003,3
Weather/H=336,discrete_scalar,0.343,0.001,0.547,0.005,3
Weather/H=336,patch,0.339,0.006,0.553,0.010,3
Weather/H=336,point,0.312,0.006,0.510,0.004,3
Weather/H=336,variate,0.388,0.007,0.622,0.013,3
